epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,374.133,1.8664,3.182,0.01159,0.54583,0.15257,0.16497,0.07256,1.75603,2.93784,0.01374,0.000199528,0.000199528,0.0802467
2,694.453,1.76704,2.41773,0.01092,0.4854,0.33474,0.29617,0.13501,1.74643,2.15569,0.0146,0.000399138,0.000399138,0.0604463
3,1035.56,1.75502,2.20549,0.011,0.52273,0.36552,0.35046,0.14101,1.91561,1.90932,0.01611,0.000597188,0.000597188,0.0406444
4,1368.64,1.75634,2.13025,0.01103,0.58049,0.41966,0.41359,0.19536,1.72895,1.59574,0.01373,0.000792518,0.000792518,0.0208397
5,1690.99,1.76375,2.0584,0.01095,0.6035,0.4387,0.45852,0.21464,1.7398,1.4801,0.01375,0.000983984,0.000983984,0.00103115
6,2017.84,1.73782,1.97818,0.0108,0.7314,0.46544,0.51022,0.2536,1.6076,1.38718,0.01208,0.000975773,0.000975773,0.000975773
7,2361.29,1.71218,1.90892,0.01072,0.62163,0.50197,0.5238,0.26312,1.6194,1.30065,0.01241,0.000965239,0.000965239,0.000965239
8,2689.26,1.70521,1.84811,0.01052,0.72475,0.49835,0.53768,0.26976,1.61588,1.26698,0.01237,0.000952889,0.000952889,0.000952889
9,3013.47,1.70128,1.8208,0.01051,0.71508,0.52357,0.55812,0.28483,1.56457,1.19341,0.01135,0.000938772,0.000938772,0.000938772
10,3341.86,1.68878,1.77966,0.01035,0.74762,0.51668,0.56481,0.2844,1.59,1.18952,0.0115,0.000922942,0.000922942,0.000922942
11,3669.15,1.67903,1.75103,0.01035,0.65625,0.55287,0.59626,0.30346,1.57496,1.1083,0.01127,0.000905463,0.000905463,0.000905463
12,4000.85,1.66473,1.69912,0.01016,0.70918,0.55568,0.6044,0.31359,1.53851,1.08422,0.01104,0.000886404,0.000886404,0.000886404
13,4328.78,1.66077,1.71048,0.01025,0.73512,0.55256,0.61571,0.33176,1.52169,1.03633,0.01083,0.000865839,0.000865839,0.000865839
14,4657.29,1.65149,1.66563,0.01008,0.69553,0.58399,0.62471,0.33102,1.515,1.01066,0.01062,0.000843851,0.000843851,0.000843851
15,4985.56,1.6614,1.66036,0.01013,0.73385,0.59568,0.66181,0.34363,1.5128,0.96495,0.01065,0.000820525,0.000820525,0.000820525
16,5327.26,1.64738,1.62657,0.01004,0.74532,0.60032,0.64454,0.34701,1.49667,0.94373,0.0105,0.000795954,0.000795954,0.000795954
17,5678.33,1.65083,1.60582,0.00995,0.77662,0.59111,0.6743,0.35952,1.49,0.90477,0.01039,0.000770234,0.000770234,0.000770234
18,6012.09,1.63999,1.57195,0.0099,0.75198,0.62476,0.67106,0.36488,1.47746,0.90222,0.01014,0.000743468,0.000743468,0.000743468
19,6355.98,1.62347,1.54995,0.00956,0.7524,0.63091,0.68185,0.37139,1.46524,0.8763,0.01004,0.000715761,0.000715761,0.000715761
20,6696.79,1.61829,1.54186,0.00968,0.79433,0.61336,0.67308,0.36515,1.47725,0.88086,0.01017,0.000687222,0.000687222,0.000687222
21,7037.46,1.61307,1.51583,0.0097,0.77191,0.6278,0.67704,0.36525,1.4724,0.858,0.01005,0.000657963,0.000657963,0.000657963
22,7372.55,1.60973,1.52105,0.0096,0.76097,0.65172,0.69035,0.37674,1.45524,0.84448,0.00991,0.000628101,0.000628101,0.000628101
23,7703.29,1.60341,1.49938,0.00971,0.75343,0.64358,0.69001,0.37769,1.44991,0.84331,0.00982,0.000597754,0.000597754,0.000597754
24,8033.59,1.59782,1.48709,0.00951,0.77392,0.64428,0.69578,0.37859,1.44572,0.8267,0.00976,0.00056704,0.00056704,0.00056704
25,8366.19,1.59923,1.4696,0.00953,0.77808,0.65559,0.71642,0.38759,1.43548,0.81378,0.00964,0.000536081,0.000536081,0.000536081
26,8709.26,1.59584,1.46098,0.00937,0.76376,0.65636,0.70355,0.38873,1.42947,0.8075,0.00959,0.000505,0.000505,0.000505
27,9039.74,1.59398,1.46765,0.00953,0.79213,0.65075,0.71219,0.39319,1.42701,0.79786,0.0096,0.000473919,0.000473919,0.000473919
28,9375.56,1.58101,1.4301,0.00923,0.79168,0.65546,0.71094,0.39274,1.42954,0.79451,0.00957,0.00044296,0.00044296,0.00044296
29,9719,1.57479,1.4261,0.00938,0.78403,0.65378,0.72044,0.39871,1.42183,0.79199,0.00949,0.000412246,0.000412246,0.000412246
30,10058.6,1.57236,1.40303,0.00926,0.78077,0.66618,0.72287,0.4002,1.41413,0.78948,0.00942,0.000381899,0.000381899,0.000381899
31,10394.8,1.56052,1.40444,0.0093,0.78316,0.6685,0.73287,0.40312,1.41266,0.78526,0.0094,0.000352037,0.000352037,0.000352037
32,10724.6,1.56551,1.39677,0.00922,0.77658,0.66855,0.73898,0.40937,1.4107,0.78018,0.00937,0.000322778,0.000322778,0.000322778
33,11052.6,1.55836,1.3608,0.00906,0.77481,0.67219,0.74417,0.40955,1.40715,0.77466,0.00934,0.000294239,0.000294239,0.000294239
