epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,576.831,1.78148,2.91314,0.01161,0.47324,0.2111,0.16848,0.07244,1.87409,2.77621,0.0172,0.000199711,0.000199711,0.0802287
2,1092.34,1.69359,2.15914,0.01099,0.51588,0.31683,0.30752,0.14216,1.7585,2.21823,0.01387,0.00039932,0.00039932,0.0604283
3,1616.46,1.68398,1.96304,0.011,0.47787,0.42719,0.4409,0.20318,1.74804,1.63654,0.01405,0.00059737,0.00059737,0.0406263
4,2127.72,1.68104,1.8457,0.01089,0.65619,0.47515,0.5048,0.2436,1.70007,1.43261,0.0127,0.000792699,0.000792699,0.0208216
5,2635.16,1.67415,1.78254,0.0109,0.74714,0.50009,0.54912,0.27591,1.62235,1.2296,0.01219,0.000984164,0.000984164,0.00101311
6,3138.79,1.66147,1.7278,0.01102,0.69459,0.54313,0.60204,0.30527,1.60615,1.11905,0.01187,0.000975773,0.000975773,0.000975773
7,3639.74,1.63535,1.63506,0.01051,0.71915,0.56314,0.61449,0.31853,1.57217,1.05721,0.01127,0.000965239,0.000965239,0.000965239
8,4129.31,1.63396,1.59212,0.01043,0.72084,0.58389,0.62055,0.3358,1.53149,1.0192,0.01096,0.000952889,0.000952889,0.000952889
9,4660.15,1.61725,1.54643,0.01035,0.74717,0.59716,0.67555,0.35974,1.51338,0.94782,0.0106,0.000938772,0.000938772,0.000938772
10,5163.96,1.61304,1.52063,0.01023,0.7452,0.61919,0.66583,0.36067,1.50392,0.91676,0.01043,0.000922942,0.000922942,0.000922942
11,5660.66,1.59662,1.48814,0.01021,0.7568,0.63933,0.68705,0.36933,1.46992,0.89086,0.01011,0.000905463,0.000905463,0.000905463
12,6159.2,1.59308,1.46168,0.01018,0.76995,0.62113,0.68578,0.37411,1.47079,0.86479,0.01001,0.000886404,0.000886404,0.000886404
13,6664.06,1.5771,1.42788,0.00997,0.79613,0.6278,0.69228,0.3886,1.44937,0.81958,0.00982,0.000865839,0.000865839,0.000865839
14,7173.66,1.56942,1.41509,0.00992,0.78992,0.64708,0.69947,0.395,1.4306,0.80791,0.00961,0.000843851,0.000843851,0.000843851
15,7702.13,1.55918,1.38292,0.00981,0.80612,0.65263,0.72922,0.40778,1.43145,0.79585,0.00958,0.000820525,0.000820525,0.000820525
16,8232.29,1.54908,1.35758,0.00976,0.79055,0.65165,0.72089,0.40759,1.43054,0.77639,0.00958,0.000795954,0.000795954,0.000795954
17,8744.41,1.54989,1.33279,0.00948,0.83493,0.6459,0.72316,0.40871,1.41573,0.76384,0.00942,0.000770234,0.000770234,0.000770234
18,9284.67,1.53944,1.32407,0.00968,0.81308,0.65258,0.72977,0.41473,1.40819,0.75402,0.00935,0.000743468,0.000743468,0.000743468
19,9799.57,1.53274,1.30084,0.00941,0.80412,0.66869,0.74484,0.41913,1.40893,0.74489,0.00932,0.000715761,0.000715761,0.000715761
20,10313.4,1.52728,1.30526,0.00951,0.80107,0.67926,0.73987,0.42026,1.40446,0.73866,0.00929,0.000687222,0.000687222,0.000687222
21,10841.3,1.52205,1.29148,0.0094,0.80948,0.67453,0.75349,0.42743,1.40024,0.73249,0.00921,0.000657963,0.000657963,0.000657963
22,11355.9,1.51777,1.26927,0.00935,0.82164,0.66973,0.75836,0.43382,1.39332,0.72551,0.00916,0.000628101,0.000628101,0.000628101
23,11875.1,1.51338,1.24894,0.00924,0.82716,0.66675,0.75731,0.43316,1.38981,0.71633,0.00913,0.000597754,0.000597754,0.000597754
24,12390,1.49843,1.23841,0.00925,0.84024,0.66918,0.75457,0.43277,1.38729,0.70812,0.00909,0.00056704,0.00056704,0.00056704
25,12926.6,1.50029,1.22693,0.00921,0.83518,0.67527,0.76861,0.44041,1.38413,0.70453,0.00906,0.000536081,0.000536081,0.000536081
26,13447.9,1.49212,1.20891,0.00905,0.83859,0.67298,0.77017,0.44214,1.38205,0.69989,0.00903,0.000505,0.000505,0.000505
27,13988.8,1.48512,1.1997,0.00903,0.83127,0.6732,0.75694,0.43685,1.38009,0.69694,0.00901,0.000473919,0.000473919,0.000473919
28,14508.7,1.47465,1.18105,0.00899,0.8287,0.67604,0.75686,0.43673,1.37759,0.69556,0.00899,0.00044296,0.00044296,0.00044296
29,15050.3,1.4714,1.17055,0.00883,0.70529,0.74464,0.75737,0.4382,1.3753,0.69411,0.00896,0.000412246,0.000412246,0.000412246
30,15565,1.47342,1.17971,0.00891,0.69888,0.74854,0.76466,0.44417,1.37299,0.69312,0.00894,0.000381899,0.000381899,0.000381899
31,16069.7,1.46364,1.17112,0.00898,0.69403,0.76467,0.77564,0.45052,1.37146,0.68845,0.00892,0.000352037,0.000352037,0.000352037
32,16607.6,1.46734,1.1574,0.00882,0.69585,0.76501,0.77591,0.44838,1.37013,0.68591,0.0089,0.000322778,0.000322778,0.000322778
33,17138.3,1.45185,1.13962,0.00869,0.69997,0.76521,0.77629,0.44922,1.36812,0.68244,0.00888,0.000294239,0.000294239,0.000294239
34,17654.9,1.44685,1.12764,0.00864,0.70137,0.76861,0.77716,0.45065,1.36584,0.67982,0.00886,0.000266532,0.000266532,0.000266532
35,18196.4,1.43831,1.12116,0.00862,0.71424,0.76862,0.77854,0.45214,1.36404,0.6765,0.00884,0.000239766,0.000239766,0.000239766
36,18712.7,1.44238,1.11103,0.00863,0.71802,0.76392,0.77942,0.45343,1.36269,0.67358,0.00882,0.000214046,0.000214046,0.000214046
37,19258.6,1.4365,1.10669,0.00851,0.72152,0.76502,0.78038,0.45504,1.36098,0.67225,0.0088,0.000189475,0.000189475,0.000189475
38,19778.8,1.43169,1.11414,0.00857,0.72274,0.74712,0.76921,0.45097,1.35912,0.66958,0.00878,0.000166149,0.000166149,0.000166149
39,20318.6,1.42705,1.10575,0.00857,0.72947,0.74682,0.76912,0.45131,1.35763,0.6672,0.00877,0.000144161,0.000144161,0.000144161
40,20837.1,1.41537,1.07202,0.0084,0.7326,0.74193,0.76663,0.45078,1.3556,0.66601,0.00875,0.000123596,0.000123596,0.000123596
41,21286.7,1.32408,0.78457,0.0085,0.7317,0.74478,0.76683,0.45088,1.35387,0.66406,0.00873,0.000104537,0.000104537,0.000104537
42,21735.9,1.30412,0.75551,0.00826,0.73577,0.74525,0.78001,0.45632,1.35271,0.66032,0.00872,8.70577e-05,8.70577e-05,8.70577e-05
43,22187.6,1.30054,0.75038,0.0083,0.74191,0.74441,0.78157,0.45779,1.35064,0.65881,0.00871,7.12282e-05,7.12282e-05,7.12282e-05
44,22636.5,1.29973,0.73691,0.00819,0.75209,0.74304,0.78367,0.45938,1.3495,0.65624,0.0087,5.71106e-05,5.71106e-05,5.71106e-05
45,23087.1,1.29072,0.74168,0.0082,0.7587,0.73955,0.78313,0.45897,1.34819,0.65243,0.00869,4.47606e-05,4.47606e-05,4.47606e-05
46,23527.4,1.28684,0.73106,0.0081,0.76602,0.73775,0.78413,0.46078,1.3468,0.64934,0.00867,3.4227e-05,3.4227e-05,3.4227e-05
