epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,334.986,1.78326,3.07915,0.01191,0.39703,0.18727,0.18199,0.07875,1.82498,2.72416,0.01481,0.000199528,0.000199528,0.0802467
2,630.944,1.70532,2.33471,0.01141,0.48637,0.20978,0.17618,0.08424,1.79246,2.77383,0.01406,0.000399138,0.000399138,0.0604463
3,938.871,1.6947,2.12036,0.01144,0.46012,0.41533,0.40376,0.18763,1.70271,1.69954,0.01368,0.000597188,0.000597188,0.0406444
4,1242.41,1.68672,2.01237,0.01137,0.61948,0.43349,0.4236,0.1954,1.7489,1.68217,0.01393,0.000792518,0.000792518,0.0208397
5,1551.72,1.69522,1.94142,0.0113,0.52861,0.49051,0.49302,0.22812,1.73128,1.40859,0.01368,0.000983984,0.000983984,0.00103115
6,1867.92,1.66644,1.86519,0.01105,0.53617,0.50642,0.51827,0.24767,1.67996,1.39783,0.01322,0.000975773,0.000975773,0.000975773
7,2177.09,1.65171,1.80567,0.01118,0.65256,0.48706,0.53101,0.26448,1.63896,1.33714,0.01228,0.000965239,0.000965239,0.000965239
8,2478.52,1.64117,1.73506,0.01081,0.77768,0.51313,0.5666,0.29347,1.58929,1.16393,0.01167,0.000952889,0.000952889,0.000952889
9,2784.02,1.62977,1.68626,0.01073,0.73365,0.52116,0.56173,0.28562,1.61011,1.17342,0.01183,0.000938772,0.000938772,0.000938772
10,3095.72,1.6315,1.65769,0.01076,0.64617,0.55572,0.60388,0.31414,1.56309,1.06734,0.01144,0.000922942,0.000922942,0.000922942
11,3397.02,1.63176,1.63835,0.01068,0.60764,0.58187,0.60462,0.31815,1.55988,1.03862,0.01118,0.000905463,0.000905463,0.000905463
12,3703.03,1.61601,1.58498,0.01051,0.73376,0.56939,0.61721,0.31863,1.55051,0.99917,0.01104,0.000886404,0.000886404,0.000886404
13,4010.85,1.59943,1.57111,0.0106,0.74644,0.59348,0.64221,0.33906,1.5153,0.95076,0.01067,0.000865839,0.000865839,0.000865839
14,4318.18,1.59838,1.55138,0.01048,0.76323,0.60349,0.65339,0.3523,1.51274,0.90255,0.01065,0.000843851,0.000843851,0.000843851
15,4618.37,1.58956,1.50952,0.01029,0.75514,0.63209,0.66326,0.35537,1.51691,0.88988,0.01053,0.000820525,0.000820525,0.000820525
16,4926.82,1.58003,1.49329,0.01025,0.78048,0.60286,0.66571,0.36299,1.48251,0.8727,0.01038,0.000795954,0.000795954,0.000795954
17,5231.77,1.58114,1.4996,0.01033,0.75291,0.64701,0.70013,0.3752,1.48526,0.84146,0.01029,0.000770234,0.000770234,0.000770234
18,5532.54,1.56612,1.45508,0.01016,0.77962,0.62524,0.6792,0.37129,1.47658,0.83363,0.01012,0.000743468,0.000743468,0.000743468
19,5844.51,1.56496,1.42456,0.00995,0.7623,0.63905,0.69471,0.37757,1.4651,0.83361,0.01,0.000715761,0.000715761,0.000715761
20,6160.48,1.55511,1.41546,0.01004,0.76163,0.65508,0.69462,0.38114,1.45101,0.81155,0.00992,0.000687222,0.000687222,0.000687222
21,6467.89,1.56201,1.41417,0.00999,0.78622,0.65152,0.69752,0.38666,1.44787,0.79736,0.00985,0.000657963,0.000657963,0.000657963
22,6780.92,1.55305,1.39904,0.00988,0.77414,0.66683,0.71063,0.39391,1.44042,0.78306,0.00975,0.000628101,0.000628101,0.000628101
23,7097.97,1.53435,1.3735,0.0099,0.78028,0.66989,0.72811,0.39907,1.42725,0.78109,0.00959,0.000597754,0.000597754,0.000597754
24,7395.68,1.54436,1.37597,0.00969,0.79335,0.64967,0.71648,0.39777,1.41951,0.77287,0.00954,0.00056704,0.00056704,0.00056704
25,7693,1.52247,1.35679,0.00979,0.77743,0.67418,0.71677,0.4002,1.42608,0.76367,0.00963,0.000536081,0.000536081,0.000536081
26,7999.31,1.52835,1.3359,0.00955,0.8103,0.661,0.73413,0.40699,1.41845,0.75457,0.00952,0.000505,0.000505,0.000505
27,8310.38,1.51529,1.32197,0.00973,0.77004,0.67743,0.71772,0.40103,1.41734,0.75094,0.00949,0.000473919,0.000473919,0.000473919
28,8623.47,1.51135,1.3008,0.00946,0.8149,0.66214,0.75225,0.41277,1.41377,0.74147,0.00945,0.00044296,0.00044296,0.00044296
29,8930.91,1.50496,1.2898,0.00951,0.79189,0.67612,0.73847,0.41262,1.41072,0.73596,0.00941,0.000412246,0.000412246,0.000412246
30,9234.86,1.5005,1.28555,0.00949,0.79999,0.67531,0.73719,0.41377,1.40656,0.73328,0.00937,0.000381899,0.000381899,0.000381899
31,9548.62,1.49633,1.27604,0.00943,0.80928,0.67811,0.73587,0.41471,1.40147,0.73202,0.0093,0.000352037,0.000352037,0.000352037
32,9860.04,1.50963,1.2616,0.00943,0.80109,0.68146,0.73922,0.41597,1.40207,0.72418,0.0093,0.000322778,0.000322778,0.000322778
33,10168,1.48586,1.26187,0.00934,0.80031,0.68229,0.74165,0.41887,1.39931,0.72189,0.00927,0.000294239,0.000294239,0.000294239
34,10478.4,1.48867,1.24922,0.00919,0.79819,0.68776,0.74143,0.42043,1.39624,0.71661,0.00923,0.000266532,0.000266532,0.000266532
35,10790.2,1.489,1.2536,0.00922,0.81451,0.68258,0.74393,0.42098,1.39424,0.71531,0.00921,0.000239766,0.000239766,0.000239766
36,11097.4,1.48372,1.2462,0.00926,0.81284,0.68882,0.74289,0.42125,1.39194,0.71142,0.00919,0.000214046,0.000214046,0.000214046
37,11411.7,1.47604,1.22611,0.00913,0.80506,0.69211,0.74325,0.42152,1.39098,0.709,0.00916,0.000189475,0.000189475,0.000189475
38,11720.2,1.46691,1.22812,0.00915,0.80707,0.69342,0.74428,0.42255,1.38937,0.70868,0.00915,0.000166149,0.000166149,0.000166149
39,12036.8,1.45126,1.19072,0.00899,0.79411,0.69934,0.74303,0.42319,1.38771,0.70715,0.00914,0.000144161,0.000144161,0.000144161
40,12350.3,1.45834,1.20404,0.00908,0.80102,0.69229,0.74187,0.42318,1.38677,0.70408,0.00912,0.000123596,0.000123596,0.000123596
41,12624.8,1.38365,0.89463,0.00928,0.8127,0.68293,0.74214,0.4224,1.38541,0.70338,0.0091,0.000104537,0.000104537,0.000104537
42,12893.6,1.36668,0.8593,0.00921,0.80472,0.69226,0.74244,0.42281,1.38546,0.70099,0.00911,8.70577e-05,8.70577e-05,8.70577e-05
43,13159.9,1.36791,0.85592,0.0091,0.80961,0.69047,0.74335,0.42356,1.38495,0.69977,0.0091,7.12282e-05,7.12282e-05,7.12282e-05
44,13425.5,1.35269,0.84239,0.00905,0.80914,0.69341,0.74525,0.42494,1.38477,0.69663,0.0091,5.71106e-05,5.71106e-05,5.71106e-05
45,13692.8,1.36191,0.85034,0.00899,0.80516,0.69506,0.74618,0.42592,1.38368,0.69571,0.00908,4.47606e-05,4.47606e-05,4.47606e-05
46,13960.4,1.34574,0.84079,0.00892,0.81126,0.69461,0.7475,0.42786,1.38311,0.69416,0.00907,3.4227e-05,3.4227e-05,3.4227e-05
47,14228.8,1.35073,0.8401,0.00896,0.80913,0.69476,0.74831,0.4284,1.38227,0.69366,0.00906,2.55513e-05,2.55513e-05,2.55513e-05
48,14498.1,1.35465,0.81786,0.009,0.81298,0.68929,0.74811,0.42884,1.38155,0.69324,0.00906,1.87678e-05,1.87678e-05,1.87678e-05
49,14766.1,1.34416,0.82448,0.0089,0.81825,0.68706,0.74873,0.42936,1.3805,0.69308,0.00905,1.39032e-05,1.39032e-05,1.39032e-05
50,15032,1.34764,0.84137,0.00884,0.81591,0.6861,0.74883,0.4293,1.38037,0.69144,0.00905,1.09768e-05,1.09768e-05,1.09768e-05
