epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,457.016,2.69338,4.37393,0.02172,0.31594,0.08513,0.0548,0.0178,2.41596,3.38712,0.02201,0.000199528,0.000199528,0.0802467
2,854.592,2.28977,3.36778,0.01722,0.36194,0.11786,0.11841,0.04369,2.18606,3.19437,0.01877,0.000399138,0.000399138,0.0604463
3,1256.4,2.13398,2.97712,0.01561,0.38484,0.2251,0.18712,0.07197,2.06092,2.5535,0.01773,0.000597188,0.000597188,0.0406444
4,1661.51,2.0486,2.75652,0.01487,0.44418,0.27939,0.23154,0.08887,2.04593,2.47663,0.01757,0.000792518,0.000792518,0.0208397
5,2061.69,1.98733,2.57836,0.01426,0.45038,0.33951,0.29661,0.12599,1.87448,2.02004,0.01523,0.000983984,0.000983984,0.00103115
6,2464.97,1.93241,2.44166,0.01361,0.49196,0.35715,0.35039,0.15152,1.87982,1.89578,0.01603,0.000975773,0.000975773,0.000975773
7,2868.87,1.89677,2.34027,0.01331,0.49393,0.38205,0.35011,0.13802,1.95891,1.84948,0.01563,0.000965239,0.000965239,0.000965239
8,3267.87,1.86063,2.24881,0.01301,0.55818,0.38541,0.39051,0.17669,1.8277,1.7816,0.0149,0.000952889,0.000952889,0.000952889
9,3668.27,1.83103,2.17859,0.01278,0.5694,0.41549,0.43019,0.20201,1.71458,1.58801,0.01355,0.000938772,0.000938772,0.000938772
10,4066.88,1.80793,2.11871,0.01256,0.61518,0.4449,0.47243,0.22878,1.67649,1.50772,0.01281,0.000922942,0.000922942,0.000922942
11,4466.55,1.79181,2.07114,0.01233,0.62314,0.45333,0.47551,0.23251,1.69109,1.40582,0.01292,0.000905463,0.000905463,0.000905463
12,4867.35,1.77733,2.03777,0.01212,0.64285,0.46308,0.49623,0.24481,1.67246,1.35985,0.01254,0.000886404,0.000886404,0.000886404
13,5270.13,1.75891,2.00089,0.01207,0.64694,0.47852,0.5093,0.25279,1.64883,1.3263,0.01223,0.000865839,0.000865839,0.000865839
14,5676.7,1.74974,1.95142,0.01183,0.59772,0.47578,0.51091,0.25816,1.6204,1.29071,0.01191,0.000843851,0.000843851,0.000843851
15,6094.55,1.73662,1.91549,0.01175,0.66294,0.50447,0.54019,0.27859,1.59664,1.23479,0.01161,0.000820525,0.000820525,0.000820525
16,6484.1,1.72695,1.89369,0.01163,0.67765,0.503,0.55243,0.28311,1.60227,1.21093,0.01161,0.000795954,0.000795954,0.000795954
17,6871.29,1.71814,1.86761,0.01159,0.61874,0.5271,0.57042,0.2932,1.57894,1.17335,0.01129,0.000770234,0.000770234,0.000770234
18,7274.08,1.72021,1.84491,0.01155,0.63979,0.53204,0.56534,0.29758,1.59042,1.14614,0.01144,0.000743468,0.000743468,0.000743468
19,7672.8,1.70777,1.8074,0.01138,0.63291,0.55697,0.58531,0.31114,1.55625,1.11873,0.0111,0.000715761,0.000715761,0.000715761
20,8075.91,1.69743,1.78501,0.0114,0.61963,0.54684,0.58949,0.31341,1.54848,1.08696,0.011,0.000687222,0.000687222,0.000687222
21,8477.16,1.69312,1.75471,0.01127,0.72196,0.57,0.60366,0.32295,1.54171,1.05641,0.01088,0.000657963,0.000657963,0.000657963
22,8871.68,1.68145,1.7397,0.0112,0.77146,0.55241,0.60709,0.32456,1.53882,1.049,0.01078,0.000628101,0.000628101,0.000628101
23,9274.83,1.67397,1.71954,0.01113,0.72598,0.55479,0.6037,0.3254,1.52978,1.02573,0.01071,0.000597754,0.000597754,0.000597754
24,9669.76,1.66998,1.70201,0.01093,0.69984,0.59687,0.61753,0.33468,1.52168,1.00986,0.01063,0.00056704,0.00056704,0.00056704
25,10062.2,1.66165,1.69343,0.01099,0.7235,0.59853,0.62534,0.33924,1.51637,0.98595,0.01057,0.000536081,0.000536081,0.000536081
26,10458.3,1.66395,1.67924,0.01093,0.74115,0.59285,0.62877,0.34188,1.51444,0.97597,0.01049,0.000505,0.000505,0.000505
27,10851.3,1.65334,1.65605,0.01089,0.74318,0.60922,0.63888,0.34731,1.50993,0.96317,0.01043,0.000473919,0.000473919,0.000473919
28,11248.6,1.64502,1.64046,0.01081,0.74785,0.60248,0.63701,0.34734,1.50953,0.96051,0.01041,0.00044296,0.00044296,0.00044296
29,11654.3,1.6432,1.62946,0.01074,0.75985,0.59772,0.64222,0.35015,1.50438,0.95359,0.01037,0.000412246,0.000412246,0.000412246
30,12051.3,1.62777,1.60616,0.01066,0.7549,0.60214,0.6417,0.35158,1.50062,0.95047,0.01033,0.000381899,0.000381899,0.000381899
31,12447.3,1.6288,1.58942,0.01055,0.75393,0.60844,0.64621,0.35368,1.49669,0.94012,0.01025,0.000352037,0.000352037,0.000352037
32,12842.4,1.62044,1.58637,0.0106,0.75186,0.61661,0.65057,0.35782,1.49521,0.9276,0.01023,0.000322778,0.000322778,0.000322778
33,13246.2,1.61902,1.5685,0.01058,0.75739,0.61388,0.65051,0.3586,1.49612,0.92584,0.01023,0.000294239,0.000294239,0.000294239
34,13652.8,1.60954,1.55382,0.01041,0.74451,0.6204,0.65314,0.35981,1.49618,0.92152,0.01022,0.000266532,0.000266532,0.000266532
35,14062.5,1.61025,1.55543,0.01048,0.77024,0.60895,0.65386,0.36089,1.49182,0.92176,0.01018,0.000239766,0.000239766,0.000239766
36,14470.3,1.61081,1.54439,0.01043,0.76984,0.61066,0.65524,0.36182,1.49305,0.91614,0.01019,0.000214046,0.000214046,0.000214046
37,14875.8,1.60168,1.52285,0.01042,0.76269,0.61215,0.656,0.36298,1.49104,0.91103,0.01016,0.000189475,0.000189475,0.000189475
38,15273.8,1.60081,1.52657,0.01033,0.76474,0.61089,0.65732,0.36426,1.48898,0.90973,0.01013,0.000166149,0.000166149,0.000166149
39,15672.9,1.5978,1.52305,0.01029,0.77493,0.6043,0.65882,0.36544,1.48935,0.90761,0.01013,0.000144161,0.000144161,0.000144161
40,16082.1,1.59546,1.50432,0.01027,0.76435,0.61642,0.66037,0.36567,1.4878,0.90642,0.01011,0.000123596,0.000123596,0.000123596
41,16428.3,1.49692,1.17004,0.01052,0.75839,0.6238,0.66118,0.36606,1.4874,0.90526,0.0101,0.000104537,0.000104537,0.000104537
42,16771.9,1.48655,1.13108,0.01045,0.75438,0.62954,0.66149,0.36654,1.48637,0.90172,0.01009,8.70577e-05,8.70577e-05,8.70577e-05
43,17113.6,1.47341,1.11172,0.01037,0.74671,0.62973,0.66218,0.36723,1.48477,0.89975,0.01008,7.12282e-05,7.12282e-05,7.12282e-05
44,17454.9,1.46844,1.10271,0.01023,0.74609,0.63118,0.6627,0.36792,1.48419,0.89677,0.01007,5.71106e-05,5.71106e-05,5.71106e-05
45,17805.6,1.47034,1.09651,0.01026,0.74185,0.63284,0.66355,0.36872,1.4823,0.89426,0.01006,4.47606e-05,4.47606e-05,4.47606e-05
46,18167,1.46524,1.08758,0.01018,0.74447,0.62963,0.66351,0.36875,1.48047,0.89313,0.01004,3.4227e-05,3.4227e-05,3.4227e-05
47,18524.3,1.46224,1.08868,0.0102,0.74461,0.62518,0.66321,0.36884,1.47999,0.89229,0.01003,2.55513e-05,2.55513e-05,2.55513e-05
