epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,684.482,2.62269,4.07157,0.02051,0.30509,0.17214,0.0942,0.03142,2.25691,4.07629,0.01943,0.000199711,0.000199711,0.0802287
2,1328.69,2.22412,3.1441,0.01626,0.41001,0.17811,0.15496,0.05586,2.1969,2.72008,0.0193,0.00039932,0.00039932,0.0604283
3,1974.42,2.06615,2.75116,0.01465,0.38539,0.30997,0.24557,0.09662,2.01052,2.23879,0.01709,0.00059737,0.00059737,0.0406263
4,2608.95,1.98152,2.50981,0.01385,0.44059,0.33529,0.29196,0.12157,1.96216,2.00926,0.01604,0.000792699,0.000792699,0.0208216
5,3246.7,1.92361,2.32651,0.0133,0.49791,0.37021,0.34979,0.13573,1.96764,1.84319,0.01573,0.000984164,0.000984164,0.00101311
6,3887.34,1.88051,2.18618,0.01283,0.57624,0.42032,0.42175,0.19533,1.77226,1.62905,0.0137,0.000975773,0.000975773,0.000975773
7,4515.51,1.83903,2.07353,0.01242,0.59357,0.44629,0.45912,0.21823,1.72302,1.51308,0.01317,0.000965239,0.000965239,0.000965239
8,5138.35,1.81107,1.98521,0.01218,0.61815,0.47581,0.50183,0.2474,1.67284,1.32483,0.01228,0.000952889,0.000952889,0.000952889
9,5739.24,1.79552,1.92108,0.01194,0.70916,0.52325,0.54477,0.26873,1.6407,1.26987,0.01213,0.000938772,0.000938772,0.000938772
10,6350.01,1.76901,1.86278,0.01176,0.69616,0.53285,0.55789,0.28821,1.61513,1.18536,0.01165,0.000922942,0.000922942,0.000922942
11,6952.31,1.75623,1.80775,0.01156,0.75268,0.53614,0.58113,0.29998,1.60706,1.12828,0.01163,0.000905463,0.000905463,0.000905463
12,7553.79,1.74475,1.76599,0.01151,0.71208,0.56376,0.5944,0.31041,1.58773,1.08137,0.01132,0.000886404,0.000886404,0.000886404
