epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,376.447,2.69815,4.53978,0.02177,0.0252,0.20826,0.03776,0.01225,2.39788,4.12352,0.02095,0.000199528,0.000199528,0.0802467
2,686.014,2.2816,3.46448,0.01731,0.35143,0.13436,0.10051,0.03755,2.14435,3.31492,0.01886,0.000399138,0.000399138,0.0604463
3,1012.51,2.12712,3.06584,0.01572,0.33529,0.2384,0.16081,0.05886,2.04272,2.66796,0.01754,0.000597188,0.000597188,0.0406444
4,1334.69,2.05245,2.82871,0.01483,0.36691,0.25702,0.20506,0.08064,1.9508,2.38452,0.01609,0.000792518,0.000792518,0.0208397
5,1650.83,1.9962,2.65286,0.01418,0.42484,0.32059,0.27577,0.11021,1.95509,2.06634,0.01591,0.000983984,0.000983984,0.00103115
6,1974.83,1.94194,2.50894,0.01354,0.4857,0.33597,0.31379,0.13503,1.86167,1.93478,0.01529,0.000975773,0.000975773,0.000975773
7,2293.47,1.89906,2.39708,0.01353,0.50114,0.39837,0.36905,0.16644,1.81137,1.73369,0.01442,0.000965239,0.000965239,0.000965239
8,2613.5,1.85871,2.29854,0.01284,0.64219,0.40648,0.4024,0.18429,1.7911,1.68104,0.01417,0.000952889,0.000952889,0.000952889
9,2949.17,1.83631,2.22272,0.01267,0.62224,0.4024,0.39322,0.1733,1.79769,1.67509,0.01423,0.000938772,0.000938772,0.000938772
10,3273.27,1.82396,2.17488,0.01258,0.56407,0.42781,0.43322,0.20028,1.75443,1.58205,0.01368,0.000922942,0.000922942,0.000922942
11,3602,1.80842,2.13343,0.01236,0.49771,0.43268,0.45178,0.21888,1.70236,1.50732,0.01295,0.000905463,0.000905463,0.000905463
12,3928.05,1.78101,2.06006,0.0121,0.70681,0.4369,0.46729,0.22166,1.7204,1.47978,0.01308,0.000886404,0.000886404,0.000886404
13,4248.66,1.75581,2.04697,0.01216,0.54082,0.48766,0.50025,0.24236,1.66876,1.36839,0.01266,0.000865839,0.000865839,0.000865839
14,4587.57,1.75946,2.01772,0.01206,0.74186,0.47365,0.52591,0.26059,1.64735,1.31085,0.0122,0.000843851,0.000843851,0.000843851
15,4910.94,1.73917,1.95427,0.01177,0.666,0.51148,0.52772,0.2631,1.63551,1.29288,0.01214,0.000820525,0.000820525,0.000820525
16,5243.59,1.73154,1.92983,0.01169,0.66077,0.52128,0.54353,0.26428,1.66951,1.24368,0.01231,0.000795954,0.000795954,0.000795954
17,5570.43,1.72883,1.91131,0.01175,0.58326,0.52868,0.55368,0.28484,1.58919,1.20278,0.01153,0.000770234,0.000770234,0.000770234
18,5902.04,1.71417,1.86766,0.01162,0.61038,0.53428,0.56707,0.29237,1.58127,1.17236,0.01141,0.000743468,0.000743468,0.000743468
19,6229.45,1.70997,1.83093,0.01134,0.77267,0.51854,0.56746,0.29581,1.58044,1.14334,0.01147,0.000715761,0.000715761,0.000715761
20,6550.17,1.6955,1.81361,0.01141,0.72396,0.52455,0.57517,0.30075,1.57396,1.12228,0.0113,0.000687222,0.000687222,0.000687222
21,6887.51,1.70231,1.80548,0.01131,0.75664,0.56239,0.59051,0.31244,1.55768,1.09434,0.01123,0.000657963,0.000657963,0.000657963
22,7219.38,1.6917,1.78503,0.01117,0.78857,0.54696,0.60576,0.31866,1.55655,1.07224,0.01107,0.000628101,0.000628101,0.000628101
23,7547.29,1.66726,1.7454,0.01119,0.75634,0.55999,0.60678,0.32008,1.5473,1.06539,0.01101,0.000597754,0.000597754,0.000597754
24,7860.98,1.68446,1.76096,0.01098,0.75881,0.56748,0.61025,0.32447,1.53833,1.04214,0.01089,0.00056704,0.00056704,0.00056704
25,8178.1,1.66635,1.72687,0.01114,0.72068,0.59338,0.61771,0.32861,1.52844,1.02813,0.01076,0.000536081,0.000536081,0.000536081
26,8504.27,1.67125,1.69911,0.0109,0.79117,0.55603,0.6245,0.33171,1.53217,1.01133,0.01081,0.000505,0.000505,0.000505
27,8835.26,1.65784,1.68935,0.01108,0.74815,0.57834,0.62344,0.33132,1.53093,1.00749,0.01077,0.000473919,0.000473919,0.000473919
28,9155.21,1.64702,1.66593,0.0107,0.7737,0.57235,0.62969,0.33733,1.52344,0.99247,0.01069,0.00044296,0.00044296,0.00044296
29,9491.86,1.64452,1.65396,0.01081,0.77962,0.58063,0.63464,0.34108,1.51453,0.97982,0.01059,0.000412246,0.000412246,0.000412246
30,9826.61,1.64117,1.63411,0.01078,0.78584,0.58672,0.64029,0.34391,1.50861,0.97429,0.01053,0.000381899,0.000381899,0.000381899
31,10153.4,1.63603,1.62774,0.01075,0.78125,0.58649,0.64238,0.34379,1.50622,0.96963,0.01049,0.000352037,0.000352037,0.000352037
32,10489.7,1.65034,1.61761,0.01074,0.78277,0.58655,0.64127,0.34582,1.50303,0.96319,0.01046,0.000322778,0.000322778,0.000322778
33,10830.8,1.6247,1.608,0.01064,0.76358,0.59251,0.64347,0.34817,1.50289,0.95466,0.01048,0.000294239,0.000294239,0.000294239
34,11159.7,1.635,1.59643,0.01055,0.74727,0.60258,0.64694,0.34997,1.49998,0.9502,0.01045,0.000266532,0.000266532,0.000266532
