epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,640.15,2.61267,4.27149,0.02036,0.03114,0.28217,0.04951,0.01708,2.32795,3.79983,0.02111,0.000199711,0.000199711,0.0802287
2,1185.78,2.20147,3.22357,0.01599,0.42756,0.16372,0.12844,0.04344,2.2373,2.81603,0.01942,0.00039932,0.00039932,0.0604283
3,1739.65,2.07514,2.86031,0.01473,0.34081,0.27011,0.20861,0.08264,1.96065,2.33887,0.01621,0.00059737,0.00059737,0.0406263
4,2288.18,1.99751,2.58912,0.01387,0.46153,0.34639,0.30369,0.12864,1.91393,2.04881,0.01628,0.000792699,0.000792699,0.0208216
5,2835.07,1.93967,2.40851,0.01343,0.55035,0.38261,0.35628,0.14173,1.91187,1.87342,0.01576,0.000984164,0.000984164,0.00101311
6,3385.72,1.89037,2.28252,0.01328,0.5857,0.43434,0.43102,0.19971,1.77188,1.60212,0.01436,0.000975773,0.000975773,0.000975773
7,3921.78,1.8405,2.13488,0.01245,0.6714,0.45294,0.47269,0.22214,1.71573,1.46258,0.01308,0.000965239,0.000965239,0.000965239
8,4457.19,1.82252,2.05583,0.01222,0.60361,0.47229,0.48881,0.22875,1.73664,1.42069,0.01333,0.000952889,0.000952889,0.000952889
9,5019.08,1.79692,1.98572,0.01204,0.66425,0.47979,0.50931,0.25573,1.64991,1.3445,0.01239,0.000938772,0.000938772,0.000938772
10,5557.38,1.79084,1.93715,0.0119,0.71182,0.51971,0.54112,0.2732,1.62751,1.24679,0.01211,0.000922942,0.000922942,0.000922942
11,6091.04,1.76279,1.88239,0.01178,0.688,0.54506,0.56485,0.28587,1.62953,1.19164,0.01208,0.000905463,0.000905463,0.000905463
12,6628.88,1.75238,1.84281,0.0117,0.7096,0.52619,0.57536,0.29914,1.58111,1.16257,0.0115,0.000886404,0.000886404,0.000886404
13,7168.83,1.73839,1.78905,0.01147,0.72643,0.55068,0.59785,0.31255,1.57679,1.10034,0.0113,0.000865839,0.000865839,0.000865839
14,7721.29,1.73217,1.76662,0.01142,0.74829,0.55935,0.60418,0.31833,1.57133,1.06005,0.01128,0.000843851,0.000843851,0.000843851
15,8264.28,1.71795,1.72244,0.01125,0.74683,0.56491,0.61628,0.33041,1.54898,1.02715,0.01102,0.000820525,0.000820525,0.000820525
